Gene,logFC,logCPM,Pvalue,FDR
DKK1,3.058916873,2.65109985,1.19E-05,0.009293639
CPS1,3.056194108,4.160139361,3.51E-06,0.00502872
FST,2.818496324,3.04642026,1.08E-05,0.008999947
DHRS2,2.750514411,3.87509181,2.82E-07,0.003285368
VSIG1,2.747192166,1.414433656,5.83E-06,0.006133218
VENTX,2.538862374,1.956858733,1.25E-06,0.003285368
IGFL2,2.277510155,2.383303694,0.000570426,0.051183613
LINC00176,2.194742836,3.640655183,0.000588977,0.051508496
CCL19,2.033946162,2.608556531,0.000237184,0.038572909
CXCL5,2.027957893,6.743508353,0.008052132,0.136583201
ODAM,1.939312663,3.337927922,0.000648343,0.053256806
CHGB,1.92205685,1.135993693,0.000760739,0.056875189
IL1A,1.885145552,2.145483335,6.78E-05,0.021872377
GLDC,1.883083687,2.216822815,0.000539823,0.05038884
PRKAA2,1.851913489,1.752600734,0.000459885,0.047343824
C7,1.819363888,3.073255287,0.001590329,0.076899715
LYVE1,1.784610378,2.039841194,0.000765582,0.056883094
ADH1B,1.720362245,2.510200955,0.004600816,0.109634255
IGF1,1.648714873,2.73752927,0.004104493,0.105442637
RP11-279F6.1,1.602008139,1.89685873,0.002542859,0.089379764
WASF3,1.540131719,2.490754201,0.000438823,0.047343824
AOX1,1.498410588,1.796540145,0.000425745,0.047343824
MME,1.461032927,4.625274598,0.000804315,0.058202168
CXCL13,1.404777996,3.311023077,0.004719423,0.110458312
MED1,1.382170179,6.211808149,2.57E-06,0.004996644
ADAM23,1.370648081,1.356662206,0.000851477,0.060205934
BNIP3,1.358201248,4.982358214,0.000647903,0.053256806
FSIP1,1.354894836,1.485771345,0.001606365,0.076899715
OXTR,1.324940616,2.163130106,0.00013812,0.031508021
FGFBP1,1.289091852,3.962568703,0.000451723,0.047343824
C3orf14,1.263724614,1.942435262,0.00112729,0.065423279
RPL39L,1.259530604,2.681598339,0.001272462,0.069698231
CST7,1.247193527,2.714671024,0.001528776,0.076317845
OLFM1,1.235849148,2.766259827,0.00292577,0.093892125
SRPX,1.167997082,2.109892358,0.000900585,0.061196027
LETM2,1.155515427,1.695894321,0.00057105,0.051183613
GRB7,1.149825609,6.017527808,0.000141811,0.031508021
CPM,1.146831029,3.860272686,0.000660478,0.053256806
CERS4,1.11263079,2.522219843,0.001744694,0.078862412
PGAP3,1.105070325,6.226749673,0.000319001,0.044142502
SIT1,1.100930436,2.111198355,0.002879952,0.093772939
MAP9,1.083404218,2.387816292,0.006923135,0.128176523
PTPRU,1.06638993,3.828513991,0.005125722,0.114847357
CDK12,1.058101695,6.602586754,1.81E-05,0.012993341
SELL,1.000292655,2.845627759,0.009688284,0.145351891
PLIN5,-1.002079496,1.100494274,0.009429417,0.144518238
PRR22,-1.026001925,2.81406386,0.000250424,0.03920477
TFF3,-1.037110387,9.69984961,0.002960314,0.093892125
HSPA2,-1.038062287,4.339318516,0.000483016,0.048225211
RAB26,-1.040715614,2.76890902,0.005728646,0.121060794
PPP1R14A,-1.045338686,3.714023463,0.008741997,0.140565516
CACNA1H,-1.051079779,4.172805679,0.001391579,0.072930785
SHC3,-1.05323179,2.160678492,0.001613553,0.076899715
LOC101928262,-1.059579716,1.549218433,0.00265901,0.09138537
C10orf11,-1.059636744,2.144225562,0.000908389,0.061236797
CPNE7,-1.070067556,6.475228319,0.004384399,0.108511351
RP11-277P12.20,-1.084416609,2.429603596,0.005639334,0.120231923
P2RX1,-1.08733013,1.460730789,0.00665336,0.127242401
MYL9,-1.093166416,7.734979956,0.006677936,0.127242401
AIFM3,-1.094979325,6.161154039,0.00102681,0.064023443
CCDC78,-1.097768588,3.095817358,0.001249099,0.068897001
INHBB,-1.104988241,2.57333251,0.001168013,0.066993279
CAPN12,-1.109483924,4.951362542,0.000112369,0.028590659
DUOX1,-1.121145765,1.92571383,0.00432133,0.108455746
